Batch_Date,Company,Duration
2022-11-04,Walmart,159.30849416522165
2022-11-05,Walmart,162.52883216203807
2022-11-06,Walmart,161.43553065876415
2022-11-07,Walmart,178.8020404883577
2022-11-08,Walmart,174.24324262152646
2022-11-09,Walmart,163.21792373056905
2022-11-10,Walmart,164.16674173278767
2022-11-11,Walmart,194.9969282699593
2022-11-12,Walmart,182.8183400044305
2022-11-13,Walmart,197.3838027025242
2022-11-14,Walmart,171.42434595772286
2022-11-15,Walmart,180.82631958884662
2022-11-16,Walmart,169.51815632166148
2022-11-17,Walmart,171.57378429619726
2022-11-18,Walmart,183.47700906273883
2022-11-19,Walmart,194.74152695557532
2022-11-20,Walmart,137.14370626149136
2022-11-21,Walmart,198.49230059218115
2022-11-22,Walmart,189.15504705928703
2022-11-23,Walmart,171.72926454507683
2022-11-24,Walmart,169.75715701709925
2022-11-25,Walmart,201.35629563786392
2022-11-26,Walmart,185.96495052601486
2022-11-27,Walmart,171.00481710509135
2022-11-28,Walmart,234.24738319771333
2022-11-29,Walmart,219.462761088503
2022-11-30,Walmart,188.60833563901951
2022-12-01,Walmart,206.69729545259483
2022-12-02,Walmart,213.8310677291625
2022-12-03,Walmart,178.37663480089412
2022-12-04,Walmart,197.07809502224583
2022-12-05,Walmart,178.33572434776787
2022-12-06,Walmart,202.10473759075904
2022-12-07,Walmart,223.6930377662139
2022-12-08,Walmart,203.0518743433456
2022-12-09,Walmart,184.93244726285405
2022-12-10,Walmart,173.21586883513535
2022-12-11,Walmart,240.9958147209253
2022-12-12,Walmart,222.16929554734932
2022-12-13,Walmart,218.89402946960013
2022-12-14,Walmart,162.57151511362085
2022-12-15,Walmart,201.63464141465755
2022-12-16,Walmart,195.04342316812537
2022-12-17,Walmart,218.67659999946164
2022-12-18,Walmart,198.02585393778708
2022-12-19,Walmart,195.2440354374757
2022-12-20,Walmart,227.83241274805823
2022-12-21,Walmart,225.75052773319865
2022-12-22,Walmart,234.73372425595053
2022-12-23,Walmart,190.08503623088131
2022-12-24,Walmart,204.5290584124708
2022-12-25,Walmart,227.74200960539588
2022-12-26,Walmart,214.51176180730613
2022-12-27,Walmart,218.497873103355
2022-12-28,Walmart,221.75822162872177
2022-12-29,Walmart,172.47474654079875
2022-12-30,Walmart,226.10824249955195
2022-12-31,Walmart,215.26104743570198
2023-01-01,Walmart,258.3180761886829
2023-01-02,Walmart,239.82355490851796
2023-01-03,Walmart,218.54932873231138
